,Name,Album,Artist
0,For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy
1,DON'T YOU WORRY,DON'T YOU WORRY,Black Eyed Peas
2,Found Eachother,Found Eachother,Kodoku
3,Calm Down,Calm Down,Rema
4,Until I Found You,Until I Found You,Stephen Sanchez
5,Don't Be Shy,Don't Be Shy,Tiësto
6,About Damn Time,About Damn Time,Lizzo
7,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),Camila Cabello
8,First Class,First Class,Jack Harlow
9,Shivers,Shivers,Ed Sheeran
10,Sky Of The Morning,Sky Of The Morning,Mr. Gun
11,Peru,Peru,Fireboy DML
12,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
13,Light Switch,Light Switch,Charlie Puth
14,Numb,Numb,Marshmello
15,Angel Baby,Angel Baby,Troye Sivan
16,The Motto,The Motto,Tiësto
17,Sunroof,Sunroof,Nicky Youre
18,My Universe,My Universe,Coldplay
19,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone
20,Sweetest Pie,Sweetest Pie,Megan Thee Stallion
21,UP,UP,INNA
22,MONEY,LALISA,LISA
23,2step (feat. Lil Baby),2step (feat. Lil Baby),Ed Sheeran
24,Don't Go Yet,Don't Go Yet,Camila Cabello
25,this is what falling in love feels like,this is what falling in love feels like,JVKE
26,Late Night Talking,Harry's House,Harry Styles
27,That's Hilarious,That's Hilarious,Charlie Puth
28,Music For a Sushi Restaurant,Harry's House,Harry Styles
29,Clap Your Hands,Clap Your Hands,Kungs
30,sun and moon,sun and moon,anees
31,Green Green Grass,Green Green Grass,George Ezra
32,Heaven (feat. Lyodra),Heaven (feat. Lyodra),Calum Scott
33,Never Really Loved Me (with Dean Lewis),Never Really Loved Me (with Dean Lewis),Kygo
34,Somebody Like U,"Walkerverse, Pt. I",Alan Walker
35,Come Around Again (feat. JC Stewart),Come Around Again (feat. JC Stewart),Armin van Buuren
36,Anyone For You (Tiger Lily),Anyone For You (Tiger Lily),George Ezra
37,Love Of My Life,Harry's House,Harry Styles
38,Slidin' (feat. Kodak Black),Slidin' (feat. Kodak Black),Jason Derulo
39,Skate,Skate,Bruno Mars
40,Acapulco,Acapulco,Jason Derulo
41,All 4 Nothing (I'm So In Love),All 4 Nothing (I'm So In Love),Lauv
42,Skyline,Skyline,Khalid
43,for the girls,for the girls,Hayley Kiyoko
44,Dope (with JID),Dope,John Legend
45,Synchronize,Synchronize,Milky Chance
46,Someday,Human (Deluxe),OneRepublic
47,We Could Be Together (feat. Daddy DJ),We Could Be Together (feat. Daddy DJ),Gabry Ponte
48,In My Mind,In My Mind,Alok
49,Close Your Eyes,Close Your Eyes,KSHMR
50,Summer of Love (Shawn Mendes & Tainy),Summer Of Love,Shawn Mendes
51,Rumors (feat. Cardi B),Rumors (feat. Cardi B),Lizzo
52,Stay the Night,Stay the Night,Sigala
53,This Hell,This Hell,Rina Sawayama
54,Drive (feat. Wes Nelson),Drive (feat. Wes Nelson),Clean Bandit
55,What Would You Do?,What Would You Do?,Joel Corry
56,Lonely World,Lonely World,K-391
57,I AM WOMAN,I AM WOMAN,Emmy Meli
58,Dancing Feet (feat. DNCE),Dancing Feet (feat. DNCE),Kygo
59,I Believe,I Believe,KAMRAD
60,I Love U,So Far So Good,The Chainsmokers
61,Sunshine,Sunshine,OneRepublic
62,HIT IT (feat. Saweetie & Lele Pons),HIT IT (feat. Saweetie & Lele Pons),Black Eyed Peas
63,I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,Clinton Kane
64,24/7,CECE,Celina Sharma
65,Just In Case,Just In Case,Timmy Trumpet
66,Manila,Manila,Ray Dalton
67,Green Light (From “American Song Contest”),Green Light (From “American Song Contest”),Enisa
68,Young Right Now,Young Right Now,Robin Schulz
69,Don’t Forget My Love,Diplo,Diplo
70,Melody,Melody,Sigala
71,I F*cking Love You,I F*cking Love You,Zolita
72,Used To Know Me,CRASH,Charli XCX
73,Something to Someone,Something to Someone,Dermot Kennedy
74,Everything But You (feat. A7S),Everything But You (feat. A7S),Clean Bandit
75,I Feel Good,I Feel Good,Pitbull
76,Seaside,"Diane Warren: The Cave Sessions, Vol. 1",Diane Warren
77,You Were Loved (with OneRepublic),You Were Loved (with OneRepublic),Gryffin
78,Just Friends,Just Friends,Why Don't We
79,It's Ok,Mercury - Act 1,Imagine Dragons
